,,,,総数,男,女,2015年（平成27年）の人口（組替）,5年間の人口増減数,5年間の人口増減率,面積（参考）,人口密度,平均年齢,年齢中位数,15歳未満,15～64歳,65歳以上,15歳未満,15～64歳,65歳以上,15歳未満,15～64歳,65歳以上,15歳未満,15～64歳,65歳以上,15歳未満,15～64歳,65歳以上,15歳未満,15～64歳,65歳以上,人口性比,日本人,外国人,総世帯,一般世帯,施設等の世帯,2015年（平成27年）の世帯数（組替）,一般世帯,"うち
核家族世帯",夫婦のみの世帯,"夫婦と子供
から成る世帯","男親と子供
から成る世帯","女親と子供
から成る世帯","うち
単独世帯","うち
65歳以上の単独世帯","（再掲）
夫65歳以上，妻60歳以上の夫婦のみの世帯","（再掲）
3世代世帯"
,,,,,,,,,,,,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,,※,※,,,,,,,,,,,,,,
都道府県名,都道府県・市区町村名,"都道府県・市区町村名
（英語）","市などの別
（地域識別コード）",（人）,（人）,（人）,（人）,（人）,（％）,（km2）,（人/km2）,（歳）,（歳）,（人）,（人）,（人）,（％）,（％）,（％）,（人）,（人）,（人）,（％）,（％）,（％）,（人）,（人）,（人）,（％）,（％）,（％）,,（人）,（人）,（世帯）,（世帯）,（世帯）,（世帯）,（世帯）,（世帯）,（世帯）,（世帯）,（世帯）,（世帯）,（世帯）,（世帯）,（世帯）,（世帯）
01_北海道,01106_札幌市南区,Sapporo-shi Minami-ku,0," 135,777 "," 62,347 "," 73,430 "," 141,190 ","-5,413",-3.8, 657.48 ,206.5,51.7 ,54.9 ," 13,291 "," 73,736 "," 48,750 ",9.8 ,54.3 ,35.9 ," 6,789 "," 35,154 "," 20,404 ",10.9 ,56.4 ,32.7 ," 6,502 "," 38,582 "," 28,346 ",8.9 ,52.5 ,38.6 ,84.9 ," 135,113 ", 664 ," 62,134 "," 61,919 ", 215 ," 61,291 "," 61,919 "," 36,367 "," 16,217 "," 13,977 ", 785 ," 5,388 "," 22,322 "," 9,644 "," 10,457 "," 1,370 "
01_北海道,01107_札幌市西区,Sapporo-shi Nishi-ku,0," 217,040 "," 100,027 "," 117,013 "," 213,578 ","3,462",1.6, 75.10 ,"2,890.0",48.0 ,48.8 ," 24,629 "," 131,267 "," 61,144 ",11.3 ,60.5 ,28.2 ," 12,581 "," 62,135 "," 25,311 ",12.6 ,62.1 ,25.3 ," 12,048 "," 69,132 "," 35,833 ",10.3 ,59.1 ,30.6 ,85.5 ," 215,975 "," 1,065 "," 103,849 "," 103,655 ", 194 ," 97,750 "," 103,655 "," 56,876 "," 23,569 "," 23,474 "," 1,114 "," 8,719 "," 41,307 "," 13,435 "," 12,441 "," 1,645 "
01_北海道,01108_札幌市厚別区,Sapporo-shi Atsubetsu-ku,0," 125,083 "," 56,755 "," 68,328 "," 127,767 ","-2,684",-2.1, 24.38 ,"5,130.6",50.5 ,52.8 ," 12,724 "," 71,431 "," 40,928 ",10.2 ,57.1 ,32.7 ," 6,519 "," 33,164 "," 17,072 ",11.5 ,58.4 ,30.1 ," 6,205 "," 38,267 "," 23,856 ",9.1 ,56.0 ,34.9 ,83.1 ," 124,413 ", 670 ," 57,289 "," 57,190 ", 99 ," 55,585 "," 57,190 "," 35,395 "," 15,301 "," 13,722 ", 712 ," 5,660 "," 19,111 "," 8,480 "," 9,271 "," 1,038 "
01_北海道,01109_札幌市手稲区,Sapporo-shi Teine-ku,0," 142,625 "," 66,913 "," 75,712 "," 140,999 ","1,626",1.2, 56.77 ,"2,512.3",49.1 ,50.7 ," 17,219 "," 80,022 "," 45,384 ",12.1 ,56.1 ,31.8 ," 8,796 "," 38,770 "," 19,347 ",13.1 ,57.9 ,28.9 ," 8,423 "," 41,252 "," 26,037 ",11.1 ,54.5 ,34.4 ,88.4 ," 142,142 ", 483 ," 61,080 "," 60,959 ", 121 ," 57,333 "," 60,959 "," 38,892 "," 15,648 "," 16,832 ", 782 ," 5,630 "," 18,678 "," 7,424 "," 9,728 "," 1,612 "
01_北海道,01110_札幌市清田区,Sapporo-shi Kiyota-ku,0," 112,355 "," 52,952 "," 59,403 "," 115,726 ","-3,371",-2.9, 59.87 ,"1,876.6",48.8 ,51.1 ," 14,278 "," 63,670 "," 34,407 ",12.7 ,56.7 ,30.6 ," 7,420 "," 30,489 "," 15,043 ",14.0 ,57.6 ,28.4 ," 6,858 "," 33,181 "," 19,364 ",11.5 ,55.9 ,32.6 ,89.1 ," 111,741 ", 614 ," 45,634 "," 45,524 ", 110 ," 45,006 "," 45,524 "," 31,247 "," 12,614 "," 14,002 ", 654 ," 3,977 "," 11,626 "," 5,189 "," 7,833 "," 1,242 "
01_北海道,01202_函館市,Hakodate-shi,2," 251,084 "," 113,965 "," 137,119 "," 265,979 ","-14,895",-5.6, 677.87 ,370.4,52.0 ,54.5 ," 23,646 "," 137,038 "," 90,400 ",9.4 ,54.6 ,36.0 ," 12,037 "," 66,193 "," 35,735 ",10.6 ,58.1 ,31.4 ," 11,609 "," 70,845 "," 54,665 ",8.5 ,51.7 ,39.9 ,83.1 ," 249,977 "," 1,107 "," 121,793 "," 121,455 ", 338 ," 123,950 "," 121,455 "," 62,606 "," 27,835 "," 21,934 "," 1,454 "," 11,383 "," 50,901 "," 22,337 "," 16,719 "," 3,171 "
01_北海道,01203_小樽市,Otaru-shi,2," 111,299 "," 50,136 "," 61,163 "," 121,924 ","-10,625",-8.7, 243.83 ,456.5,54.5 ,58.3 ," 9,182 "," 56,310 "," 45,807 ",8.2 ,50.6 ,41.2 ," 4,685 "," 27,238 "," 18,213 ",9.3 ,54.3 ,36.3 ," 4,497 "," 29,072 "," 27,594 ",7.4 ,47.5 ,45.1 ,82.0 ," 110,692 ", 607 ," 52,817 "," 52,615 ", 202 ," 55,466 "," 52,615 "," 28,930 "," 13,061 "," 9,960 ", 717 ," 5,192 "," 20,657 "," 11,095 "," 8,822 "," 1,291 "
01_北海道,01204_旭川市,Asahikawa-shi,2," 329,306 "," 152,108 "," 177,198 "," 339,605 ","-10,299",-3.0, 747.66 ,440.4,50.9 ,53.0 ," 34,758 "," 180,663 "," 113,885 ",10.6 ,54.9 ,34.6 ," 17,835 "," 86,951 "," 47,322 ",11.7 ,57.2 ,31.1 ," 16,923 "," 93,712 "," 66,563 ",9.6 ,52.9 ,37.6 ,85.8 ," 328,153 "," 1,153 "," 156,195 "," 155,625 ", 570 ," 155,747 "," 155,625 "," 86,206 "," 39,136 "," 31,575 "," 1,859 "," 13,636 "," 61,540 "," 24,821 "," 24,072 "," 3,197 "
01_北海道,01205_室蘭市,Muroran-shi,2," 82,383 "," 40,390 "," 41,993 "," 88,564 ","-6,181",-7.0, 81.01 ,"1,016.9",51.4 ,53.7 ," 7,769 "," 44,065 "," 30,549 ",9.4 ,53.5 ,37.1 ," 3,916 "," 23,793 "," 12,681 ",9.7 ,58.9 ,31.4 ," 3,853 "," 20,272 "," 17,868 ",9.2 ,48.3 ,42.5 ,96.2 ," 81,975 ", 408 ," 41,766 "," 41,660 ", 106 ," 43,616 "," 41,660 "," 20,845 "," 9,895 "," 7,430 ", 461 ," 3,059 "," 18,890 "," 7,410 "," 6,481 ", 839 
01_北海道,01206_釧路市,Kushiro-shi,2," 165,077 "," 77,506 "," 87,571 "," 174,742 ","-9,665",-5.5," 1,363.29 ",121.1,50.9 ,53.2 ," 16,641 "," 91,703 "," 56,733 ",10.1 ,55.6 ,34.4 ," 8,499 "," 45,427 "," 23,580 ",11.0 ,58.6 ,30.4 ," 8,142 "," 46,276 "," 33,153 ",9.3 ,52.8 ,37.9 ,88.5 ," 164,204 ", 873 ," 80,349 "," 80,095 ", 254 ," 82,078 "," 80,095 "," 42,053 "," 19,062 "," 14,908 "," 1,081 "," 7,002 "," 33,385 "," 13,290 "," 11,513 "," 1,924 "
