上尾		 238 	 245 
上尾鷹の台		 238 	 241 
上尾橘		 199 	 185 
上尾南		 278 	 278 
朝霞		 318 	 323 
朝霞西		 318 	 322 
伊奈学園総合		 795 	 797 
入間向陽		 318 	 322 
岩槻		 278 	 282 
岩槻北陵		 198 	 188 
浦和		 358 	 364 
浦和北		 318 	 321 
浦和第一女子		 358 	 365 
浦和西		 358 	 364 
浦和東		 318 	 318 
大宮		 318 	 327 
大宮光陵		 198 	 200 
大宮東		 278 	 278 
大宮南		 358 	 363 
大宮武蔵野		 238 	 238 
小川		 199 	 199 
桶川		 318 	 318 
桶川西		 199 	 197 
越生		 119 	 93 
春日部		 358 	 364 
春日部女子		 278 	 286 
春日部東		 318 	 318 
川口		 318 	 322 
川口北		 358 	 363 
川口青陵		 318 	 322 
川口東		 278 	 281 
川越		 397 	 400 
川越女子		 397 	 399 
川越西		 318 	 322 
川越初雁		 238 	 240 
川越南		 358 	 362 
北本		 199 	 180 
久喜		 278 	 281 
熊谷		 318 	 322 
熊谷女子		 318 	 327 
熊谷西		 278 	 281 
栗橋北彩		 238 	 236 
鴻巣		 198 	 200 
鴻巣女子		 119 	 119 
越ケ谷		 318 	 325 
越谷北		 318 	 322 
越谷西		 318 	 322 
越谷東		 278 	 281 
越谷南		 357 	 361 
児玉		 159 	 113 
坂戸		 318 	 322 
坂戸西		 318 	 318 
狭山清陵		 238 	 241 
志木		 278 	 278 
庄和		 199 	 203 
白岡		 199 	 199 
進修館		 39 	 40 
杉戸		 318 	 318 
草加		 358 	 363 
草加西		 238 	 241 
草加東		 318 	 325 
草加南		 238 	 246 
秩父		 238 	 234 
鶴ケ島清風		 238 	 232 
所沢		 358 	 363 
所沢北		 318 	 322 
所沢中央		 318 	 322 
所沢西		 318 	 322 
豊岡		 318 	 324 
南稜		 318 	 322 
新座		 198 	 198 
新座柳瀬		 238 	 238 
蓮田松韻		 238 	 233 
鳩ケ谷		 158 	 159 
鳩山		 119 	 99 
羽生第一		 199 	 206 
飯能		 238 	 241 
飯能南		 199 	 187 
日高		 159 	 159 
深谷		 238 	 233 
深谷第一		 278 	 287 
富士見		 238 	 239 
ふじみ野		 158 	 158 
不動岡		 318 	 322 
本庄		 318 	 327 
松伏		 159 	 160 
松山		 278 	 282 
松山女子		 318 	 322 
三郷		 238 	 236 
三郷北		 278 	 278 
宮代		 199 	 199 
妻沼		 159 	 123 
八潮		 199 	 198 
八潮南		 79 	 77 
与野		 358 	 363 
和光		 198 	 197 
和光国際		 238 	 241 
鷲宮		 238 	 259 
蕨		 357 	 357 
川口市立		 440 	 441 
川越市立川越		 140 	 144 
さいたま市立浦和		 360 	 367 
さいたま市立浦和南		 320 	 324 
さいたま市立大宮北		 320 	 321 
秋草学園		 320 	 308 
浦和明の星女子		 160 	 170 
浦和学院		 800 	 997 
浦和実業学園		 520 	 533 
浦和ルーテル学院		 75 	 66 
浦和麗明		 320 	 462 
叡明		 460 	 570 
大妻嵐山		 180 	 101 
大宮開成		 500 	 472 
開智		 500 	 612 
開智未来		 240 	 195 
春日部共栄		 500 	 578 
川越東		 400 	 494 
慶應義塾志木		 250 	 256 
国際学院		 80 	 35 
埼玉栄		 560 	 507 
埼玉平成		 350 	 287 
栄北		 280 	 337 
栄東		 400 	 481 
狭山ヶ丘		 400 	 350 
自由の森学園		 210 	 221 
秀明		 200 	 82 
秀明英光		 400 	 444 
淑徳与野		 360 	 355 
城西大学付属川越		 280 	 195 
正智深谷		 400 	 442 
昌平		 490 	 540 
城北埼玉		 280 	 192 
西武学園文理		 290 	 284 
西武台		 500 	 490 
聖望学園		 300 	 321 
東京成徳大学深谷		 350 	 328 
東京農業大学第三		 400 	 351 
獨協埼玉		 320 	 342 
花咲徳栄		 440 	 520 
東野		 350 	 368 
武南		 440 	 522 
星野		 650 	 827 
細田学園		 440 	 331 
本庄第一		 450 	 373 
本庄東		 400 	 517 
武蔵越生		 380 	 352 
山村学園		 400 	 561 
山村国際		 240 	 382 
立教新座		 280 	 332 
早稲田大学本庄		 320 	 334 
