上尾		 238 	 246 
上尾鷹の台		 238 	 237 
上尾橘		 199 	 160 
上尾南		 238 	 238 
朝霞		 318 	 317 
朝霞西		 318 	 322 
伊奈学園総合		 795 	 796 
入間向陽		 318 	 322 
岩槻		 278 	 278 
岩槻北陵		 198 	 155 
浦和		 358 	 363 
浦和北		 318 	 323 
浦和第一女子		 358 	 368 
浦和西		 358 	 368 
浦和東		 318 	 322 
大宮		 318 	 325 
大宮光陵		 198 	 200 
大宮東		 238 	 239 
大宮南		 358 	 365 
大宮武蔵野		 238 	 241 
小川		 199 	 199 
桶川		 318 	 320 
桶川西		 198 	 198 
越生		 119 	 113 
春日部		 358 	 362 
春日部女子		 278 	 278 
春日部東		 318 	 322 
川口		 318 	 322 
川口北		 358 	 362 
川口青陵		 278 	 280 
川口東		 278 	 281 
川越		 358 	 366 
川越女子		 358 	 364 
川越西		 318 	 323 
川越初雁		 198 	 187 
川越南		 358 	 362 
北本		 198 	 187 
久喜		 278 	 284 
熊谷		 318 	 323 
熊谷女子		 318 	 325 
熊谷西		 278 	 278 
栗橋北彩		 238 	 237 
鴻巣		 198 	 200 
鴻巣女子		 119 	 121 
越ケ谷		 318 	 325 
越谷北		 318 	 323 
越谷西		 318 	 322 
越谷東		 278 	 278 
越谷南		 318 	 322 
児玉		 159 	 103 
坂戸		 318 	 322 
坂戸西		 318 	 327 
狭山清陵		 198 	 200 
志木		 278 	 278 
庄和		 198 	 200 
白岡		 199 	 199 
杉戸		 318 	 318 
草加		 358 	 362 
草加西		 238 	 241 
草加東		 318 	 322 
草加南		 238 	 241 
秩父		 238 	 209 
鶴ケ島清風		 238 	 238 
所沢		 358 	 362 
所沢北		 318 	 326 
所沢中央		 318 	 325 
所沢西		 318 	 322 
豊岡		 318 	 322 
南稜		 318 	 322 
新座		 198 	 198 
新座柳瀬		 238 	 238 
蓮田松韻		 198 	 195 
鳩ケ谷		 158 	 160 
鳩山		 119 	 112 
羽生第一		 199 	 200 
飯能		 238 	 244 
飯能南		 199 	 185 
日高		 159 	 162 
深谷		 238 	 237 
深谷第一		 278 	 288 
富士見		 238 	 227 
ふじみ野		 158 	 154 
不動岡		 318 	 322 
本庄		 318 	 328 
松伏		 159 	 161 
松山		 278 	 279 
松山女子		 318 	 322 
三郷		 238 	 238 
三郷北		 278 	 278 
宮代		 199 	 210 
妻沼		 159 	 143 
八潮		 198 	 186 
八潮南		 79 	 80 
与野		 358 	 363 
和光		 198 	 198 
和光国際		 238 	 241 
鷲宮		 278 	 296 
蕨		 318 	 322 
川口市立		 440 	 447 
川越市立川越		 140 	 144 
さいたま市立浦和		 320 	 324 
さいたま市立浦和南		 320 	 324 
さいたま市立大宮北		 280 	 282 
青山学院大学系属浦和ルーテル学院		 75 	 57 
秋草学園		 320 	 277 
浦和明の星女子		 160 	 172 
浦和学院		 800 	 735 
浦和実業学園		 520 	 607 
浦和麗明		 320 	 300 
叡明		 460 	 621 
大妻嵐山		 180 	 101 
大宮開成		 500 	 595 
開智		 500 	 617 
開智未来		 240 	 166 
春日部共栄		 500 	 541 
川越東		 400 	 484 
慶應義塾志木		 250 	 245 
国際学院		 80 	 34 
埼玉栄		 560 	 550 
埼玉平成		 350 	 282 
栄北		 280 	 413 
栄東		 400 	 452 
狭山ヶ丘		 400 	 391 
自由の森学園		 210 	 185 
秀明		 200 	 81 
秀明英光		 400 	 304 
淑徳与野		 360 	 415 
城西大学付属川越		 280 	 239 
正智深谷		 400 	 330 
昌平		 490 	 549 
城北埼玉		 280 	 183 
西武学園文理		 290 	 216 
西武台		 500 	 391 
聖望学園		 300 	 324 
東京成徳大学深谷		 350 	 387 
東京農業大学第三		 400 	 538 
獨協埼玉		 320 	 350 
花咲徳栄		 440 	 452 
東野		 350 	 470 
武南		 440 	 560 
星野		 650 	 590 
細田学園		 440 	 404 
本庄第一		 450 	 285 
本庄東		 400 	 455 
武蔵越生		 380 	 357 
山村学園		 400 	 476 
山村国際		 240 	 333 
立教新座		 280 	 328 
早稲田大学本庄		 320 	 344 
