		 一浪 	 41 	 23 	 18 	 40 	 23 	 17 	 6 	 2 	 4 	 - 	 - 	 - 	 34 	 21 	 13 	 1 	 - 	 1 	 - 	 - 	 - 	 1 	 - 	 1 	 … 	 … 	 … 			
		 二浪以上 	 3 	 3 	 - 	 3 	 3 	 - 	 1 	 1 	 - 	 - 	 - 	 - 	 2 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	入間向陽	 計 	 182 	 68 	 114 	 136 	 66 	 70 	 1 	 - 	 1 	 - 	 - 	 - 	 135 	 66 	 69 	 46 	 2 	 44 	 - 	 - 	 - 	 46 	 2 	 44 	 - 	 - 	 - 			
		 現役 	 180 	 66 	 114 	 134 	 64 	 70 	 1 	 - 	 1 	 - 	 - 	 - 	 133 	 64 	 69 	 46 	 2 	 44 	 - 	 - 	 - 	 46 	 2 	 44 	 - 	 - 	 - 	 316 	 107 	 209 
		 一浪 	 2 	 2 	 - 	 2 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 2 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	岩槻	 計 	 167 	 84 	 83 	 129 	 83 	 46 	 1 	 1 	 - 	 - 	 - 	 - 	 128 	 82 	 46 	 38 	 1 	 37 	 - 	 - 	 - 	 38 	 1 	 37 	 - 	 - 	 - 			
		 現役 	 164 	 81 	 83 	 126 	 80 	 46 	 1 	 1 	 - 	 - 	 - 	 - 	 125 	 79 	 46 	 38 	 1 	 37 	 - 	 - 	 - 	 38 	 1 	 37 	 - 	 - 	 - 	 278 	 115 	 163 
		 一浪 	 3 	 3 	 - 	 3 	 3 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 3 	 3 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
普通科	岩槻北陵	 計 	 18 	 14 	 4 	 14 	 13 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 14 	 13 	 1 	 4 	 1 	 3 	 - 	 - 	 - 	 4 	 1 	 3 	 - 	 - 	 - 			
		 現役 	 18 	 14 	 4 	 14 	 13 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 14 	 13 	 1 	 4 	 1 	 3 	 - 	 - 	 - 	 4 	 1 	 3 	 - 	 - 	 - 	 137 	 75 	 62 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	浦和	 計 	 376 	 376 	 … 	 375 	 375 	 … 	 223 	 223 	 … 	 5 	 5 	 … 	 147 	 147 	 … 	 1 	 1 	 … 	 1 	 1 	 … 	 - 	 - 	 … 	 - 	 - 	 … 			
		 現役 	 180 	 180 	 … 	 180 	 180 	 … 	 118 	 118 	 … 	 3 	 3 	 … 	 59 	 59 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 358 	 358 	 … 
		 一浪 	 182 	 182 	 … 	 181 	 181 	 … 	 96 	 96 	 … 	 2 	 2 	 … 	 83 	 83 	 … 	 1 	 1 	 … 	 1 	 1 	 … 	 - 	 - 	 … 	 … 	 … 	 … 			
		 二浪以上 	 14 	 14 	 … 	 14 	 14 	 … 	 9 	 9 	 … 	 - 	 - 	 … 	 5 	 5 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 … 	 … 	 … 			
	浦和北	 計 	 259 	 141 	 118 	 252 	 141 	 111 	 1 	 1 	 - 	 - 	 - 	 - 	 251 	 140 	 111 	 7 	 - 	 7 	 - 	 - 	 - 	 7 	 - 	 7 	 - 	 - 	 - 			
		 現役 	 244 	 126 	 118 	 237 	 126 	 111 	 1 	 1 	 - 	 - 	 - 	 - 	 236 	 125 	 111 	 7 	 - 	 7 	 - 	 - 	 - 	 7 	 - 	 7 	 - 	 - 	 - 	 314 	 159 	 155 
		 一浪 	 13 	 13 	 - 	 13 	 13 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 13 	 13 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 2 	 2 	 - 	 2 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 2 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	浦和第一女子	 計 	 371 	 … 	 371 	 371 	 … 	 371 	 135 	 … 	 135 	 13 	 … 	 13 	 223 	 … 	 223 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 			
		 現役 	 287 	 … 	 287 	 287 	 … 	 287 	 99 	 … 	 99 	 10 	 … 	 10 	 178 	 … 	 178 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 358 	 … 	 358 
		 一浪 	 80 	 … 	 80 	 80 	 … 	 80 	 35 	 … 	 35 	 3 	 … 	 3 	 42 	 … 	 42 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 … 	 … 	 … 			
		 二浪以上 	 4 	 … 	 4 	 4 	 … 	 4 	 1 	 … 	 1 	 - 	 … 	 - 	 3 	 … 	 3 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 … 	 … 	 … 			
	浦和西	 計 	 362 	 180 	 182 	 359 	 180 	 179 	 53 	 42 	 11 	 20 	 10 	 10 	 286 	 128 	 158 	 3 	 - 	 3 	 - 	 - 	 - 	 3 	 - 	 3 	 - 	 - 	 - 			
		 現役 	 311 	 145 	 166 	 308 	 145 	 163 	 46 	 35 	 11 	 16 	 7 	 9 	 246 	 103 	 143 	 3 	 - 	 3 	 - 	 - 	 - 	 3 	 - 	 3 	 - 	 - 	 - 	 360 	 175 	 185 
		 一浪 	 50 	 35 	 15 	 50 	 35 	 15 	 7 	 7 	 - 	 4 	 3 	 1 	 39 	 25 	 14 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 1 	 - 	 1 	 1 	 - 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 1 	 - 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	浦和東	 計 	 199 	 140 	 59 	 181 	 135 	 46 	 1 	 1 	 - 	 - 	 - 	 - 	 180 	 134 	 46 	 16 	 3 	 13 	 - 	 - 	 - 	 16 	 3 	 13 	 2 	 2 	 - 			
		 現役 	 189 	 130 	 59 	 171 	 125 	 46 	 - 	 - 	 - 	 - 	 - 	 - 	 171 	 125 	 46 	 16 	 3 	 13 	 - 	 - 	 - 	 16 	 3 	 13 	 2 	 2 	 - 	 314 	 206 	 108 
		 一浪 	 8 	 8 	 - 	 8 	 8 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 8 	 8 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
