上尾		 238 	 244 
上尾鷹の台		 238 	 238 
上尾橘		 159 	 158 
上尾南		 238 	 238 
朝霞		 318 	 318 
朝霞西		 318 	 320 
伊奈学園総合		 795 	 810 
入間向陽		 318 	 319 
岩槻		 278 	 277 
岩槻北陵		 159 	 159 
浦和		 358 	 360 
浦和北		 318 	 318 
浦和第一女子		 358 	 361 
浦和西		 358 	 365 
浦和東		 318 	 318 
大宮		 318 	 323 
大宮光陵		 238 	 238 
大宮東		 238 	 243 
大宮南		 358 	 359 
大宮武蔵野		 238 	 238 
小川		 199 	 201 
			
　（普通科続き）			
"学　校　名

（○印は市立高校）"		募集人員	"入学者
総数"
			
			
桶川		 318 	 318 
桶川西		 159 	 160 
越生		 119 	 98 
春日部		 358 	 359 
春日部女子		 278 	 278 
春日部東		 318 	 319 
川口		 318 	 322 
川口北		 358 	 359 
川口青陵		 278 	 278 
川口東		 278 	 278 
川越		 358 	 360 
川越女子		 358 	 358 
川越西		 318 	 318 
川越初雁		 198 	 197 
川越南		 358 	 358 
北本		 159 	 159 
久喜		 278 	 279 
熊谷		 318 	 319 
熊谷女子		 318 	 319 
熊谷西		 278 	 285 
栗橋北彩		 198 	 198 
鴻巣		 198 	 203 
鴻巣女子		 79 	 80 
越ケ谷		 318 	 320 
越谷北		 318 	 317 
越谷西		 318 	 318 
越谷東		 278 	 278 
越谷南		 318 	 318 
児玉		 119 	 79 
坂戸		 318 	 322 
坂戸西		 318 	 318 
狭山清陵		 198 	 198 
志木		 278 	 278 
庄和		 198 	 200 
白岡		 159 	 159 
杉戸		 278 	 278 
草加		 358 	 358 
草加西		 238 	 238 
草加東		 318 	 318 
草加南		 238 	 239 
秩父		 238 	 225 
鶴ケ島清風		 198 	 198 
所沢		 358 	 361 
所沢北		 318 	 319 
所沢中央		 318 	 318 
所沢西		 318 	 318 
豊岡		 318 	 322 
南稜		 318 	 319 
新座		 198 	 202 
新座柳瀬		 238 	 238 
蓮田松韻		 198 	 198 
鳩ケ谷		 158 	 158 
鳩山		 119 	 87 
羽生第一		 198 	 188 
飯能		 238 	 240 
飯能南		 159 	 145 
日高		 159 	 159 
深谷		 199 	 199 
深谷第一		 278 	 282 
富士見		 198 	 200 
ふじみ野		 118 	 120 
不動岡		 358 	 358 
本庄		 318 	 321 
松伏		 159 	 160 
松山		 278 	 278 
松山女子		 318 	 322 
三郷		 198 	 199 
三郷北		 278 	 278 
宮代		 198 	 200 
妻沼		 159 	 115 
八潮		 198 	 194 
八潮南		 79 	 79 
与野		 358 	 358 
和光		 159 	 159 
和光国際		 238 	 238 
鷲宮		 278 	 285 
蕨		 318 	 322 
川口市立		 440 	 441 
川越市立川越		 140 	 140 
さいたま市立浦和		 320 	 324 
さいたま市立浦和南		 320 	 321 
さいたま市立大宮北		 280 	 281 
"青山学院大学系属浦和ルーテル学院"		 75 	 79 
秋草学園		 320 	 247 
浦和明の星女子		 160 	 172 
浦和学院		 800 	 737 
浦和実業学園		 520 	 550 
浦和麗明		 320 	 417 
叡明		 520 	 492 
大妻嵐山		 180 	 130 
大宮開成		 500 	 686 
開智		 500 	 572 
開智未来		 240 	 131 
春日部共栄		 500 	 478 
川越東		 400 	 451 
慶應義塾志木		 250 	 245 
国際学院		 80 	 46 
埼玉栄		 560 	 609 
埼玉平成		 350 	 341 
栄北		 320 	 387 
栄東		 400 	 513 
狭山ヶ丘		 400 	 342 
自由の森学園		 210 	 232 
秀明		 200 	 65 
秀明英光		 400 	 337 
淑徳与野		 360 	 370 
城西大学付属川越		 280 	 211 
正智深谷		 400 	 400 
昌平		 490 	 502 
城北埼玉		 240 	 238 
西武学園文理		 290 	 265 
西武台		 500 	 387 
聖望学園		 300 	 295 
東京成徳大学深谷		 350 	 335 
東京農業大学第三		 400 	 513 
獨協埼玉		 320 	 315 
花咲徳栄		 440 	 507 
東野		 350 	 304 
武南		 440 	 471 
星野		 650 	 774 
細田学園		 440 	 379 
本庄第一		 450 	 261 
本庄東		 400 	 454 
武蔵越生		 380 	 341 
山村学園		 400 	 324 
山村国際		 240 	 247 
立教新座		 280 	 325 
早稲田大学本庄		 320 	 329 
