上尾		 238 	 250 
上尾鷹の台		 238 	 244 
上尾橘		 199 	 199 
上尾南		 278 	 280 
朝霞		 318 	 322 
朝霞西		 358 	 367 
伊奈学園総合		 795 	 799 
入間向陽		 358 	 368 
岩槻		 278 	 281 
岩槻北陵		 198 	 195 
浦和		 358 	 370 
浦和北		 318 	 326 
浦和第一女子		 397 	 405 
浦和西		 397 	 403 
浦和東		 318 	 326 
大宮		 357 	 371 
大宮光陵		 238 	 244 
大宮東		 238 	 242 
大宮南		 358 	 369 
大宮武蔵野		 278 	 278 
小川		 199 	 199 
桶川		 318 	 323 
桶川西		 199 	 199 
越生		 119 	 121 
春日部		 397 	 398 
春日部女子		 278 	 281 
春日部東		 318 	 326 
川口		 358 	 367 
川口北		 397 	 398 
川口青陵		 278 	 283 
川口東		 318 	 323 
川越		 358 	 367 
川越女子		 358 	 367 
川越西		 358 	 364 
川越初雁		 238 	 250 
川越南		 358 	 367 
北本		 199 	 200 
久喜		 278 	 283 
熊谷		 318 	 322 
熊谷女子		 318 	 326 
熊谷西		 278 	 282 
栗橋北彩		 238 	 238 
鴻巣		 198 	 203 
鴻巣女子		 119 	 119 
越ケ谷		 318 	 326 
越谷北		 357 	 359 
越谷西		 318 	 320 
越谷東		 278 	 282 
越谷南		 357 	 367 
児玉		 159 	 136 
坂戸		 318 	 326 
坂戸西		 358 	 358 
狭山清陵		 238 	 238 
志木		 278 	 281 
庄和		 199 	 200 
白岡		 199 	 197 
進修館		 39 	 40 
杉戸		 318 	 322 
草加		 358 	 367 
草加西		 238 	 241 
草加東		 318 	 328 
草加南		 238 	 246 
秩父		 238 	 234 
鶴ケ島清風		 238 	 238 
所沢		 358 	 368 
所沢北		 318 	 326 
所沢中央		 318 	 322 
所沢西		 318 	 326 
豊岡		 318 	 326 
南稜		 318 	 326 
新座		 198 	 198 
新座柳瀬		 238 	 238 
蓮田松韻		 238 	 244 
鳩ケ谷		 158 	 162 
鳩山		 119 	 116 
羽生第一		 238 	 247 
飯能		 238 	 241 
飯能南		 238 	 234 
日高		 159 	 155 
深谷		 238 	 238 
深谷第一		 318 	 328 
富士見		 238 	 238 
ふじみ野		 158 	 158 
不動岡		 318 	 326 
本庄		 318 	 328 
松伏		 198 	 198 
松山		 278 	 281 
松山女子		 318 	 321 
三郷		 238 	 238 
三郷北		 278 	 278 
宮代		 238 	 238 
妻沼		 159 	 158 
八潮		 199 	 199 
八潮南		 79 	 81 
与野		 358 	 367 
和光		 198 	 197 
和光国際		 238 	 245 
鷲宮		 278 	 304 
蕨		 318 	 326 
川口市立川口		 240 	 246 
川口市立県陽		 120 	 123 
川越市立川越		 140 	 148 
さいたま市立浦和		 320 	 326 
さいたま市立浦和南		 320 	 328 
さいたま市立大宮北		 280 	 287 
さいたま市立大宮西		 240 	 243 
秋草学園		 320 	 244 
浦和明の星女子		 160 	 172 
浦和学院		 800 	 957 
浦和実業学園		 520 	 547 
浦和ルーテル学院		 75 	 63 
浦和麗明		 320 	 232 
叡明		 460 	 647 
大妻嵐山		 180 	 155 
大宮開成		 500 	 502 
開智		 500 	 573 
開智未来		 240 	 194 
春日部共栄		 500 	 496 
川越東		 400 	 462 
慶應義塾志木		 250 	 255 
国際学院		 80 	 33 
埼玉栄		 560 	 566 
埼玉平成		 350 	 265 
栄北		 280 	 372 
栄東		 400 	 494 
狭山ヶ丘		 400 	 406 
自由の森学園		 210 	 156 
秀明		 200 	 94 
秀明英光		 400 	 448 
淑徳与野		 360 	 362 
城西大学付属川越		 280 	 270 
正智深谷		 400 	 477 
昌平		 490 	 568 
城北埼玉		 280 	 223 
西武学園文理		 290 	 279 
西武台		 500 	 498 
聖望学園		 300 	 381 
東京成徳大学深谷		 350 	 342 
東京農業大学第三		 400 	 371 
獨協埼玉		 320 	 369 
花咲徳栄		 440 	 575 
東野		 350 	 394 
武南		 440 	 472 
星野		 650 	 909 
細田学園		 440 	 394 
本庄第一		 450 	 479 
本庄東		 400 	 418 
武蔵越生		 380 	 462 
山村学園		 400 	 508 
山村国際		 240 	 317 
立教新座		 280 	 319 
早稲田大学本庄		 320 	 336 
