上尾		 238 	 246 
上尾鷹の台		 198 	 198 
上尾橘		 159 	 117 
上尾南		 238 	 238 
朝霞		 318 	 319 
朝霞西		 358 	 358 
伊奈学園総合		 795 	 796 
入間向陽		 318 	 318 
岩槻		 278 	 282 
岩槻北陵		 159 	 139 
浦和		 358 	 364 
浦和北		 318 	 320 
浦和第一女子		 358 	 356 
浦和西		 358 	 359 
浦和東		 318 	 320 
大宮		 318 	 319 
大宮光陵		 238 	 238 
大宮東		 238 	 239 
大宮南		 358 	 358 
大宮武蔵野		 238 	 235 
小川		 198 	 189 
桶川		 278 	 280 
桶川西		 159 	 137 
越生		 79 	 55 
春日部		 358 	 359 
春日部女子		 238 	 238 
春日部東		 318 	 322 
川口		 318 	 319 
川口北		 358 	 359 
川口青陵		 278 	 277 
川口東		 278 	 281 
川越		 358 	 358 
川越女子		 358 	 357 
川越西		 318 	 319 
川越初雁		 198 	 199 
川越南		 358 	 358 
北本		 159 	 142 
久喜		 278 	 278 
熊谷		 318 	 321 
熊谷女子		 318 	 320 
熊谷西		 278 	 278 
栗橋北彩		 198 	 184 
鴻巣		 198 	 203 
鴻巣女子		 79 	 79 
越ケ谷		 318 	 322 
越谷北		 318 	 321 
越谷西		 318 	 319 
越谷東		 278 	 279 
越谷南		 318 	 318 
児玉		 79 	 64 
坂戸		 318 	 319 
坂戸西		 318 	 319 
狭山清陵		 198 	 198 
志木		 238 	 237 
庄和		 159 	 163 
白岡		 159 	 152 
杉戸		 278 	 280 
草加		 358 	 359 
草加西		 238 	 238 
草加東		 318 	 319 
草加南		 238 	 238 
秩父		 199 	 183 
鶴ケ島清風		 198 	 199 
所沢		 358 	 359 
所沢北		 318 	 318 
所沢中央		 318 	 319 
所沢西		 358 	 358 
豊岡		 318 	 319 
南稜		 318 	 318 
新座		 198 	 196 
新座柳瀬		 198 	 198 
蓮田松韻		 198 	 130 
鳩ケ谷		 158 	 158 
鳩山		 119 	 72 
羽生第一		 159 	 154 
飯能		 278 	 278 
日高		 159 	 160 
深谷		 198 	 198 
深谷第一		 278 	 281 
富士見		 198 	 199 
ふじみ野		 118 	 118 
不動岡		 358 	 358 
本庄		 318 	 327 
松伏		 158 	 158 
松山		 278 	 278 
松山女子		 318 	 320 
三郷		 198 	 194 
三郷北		 238 	 238 
宮代		 198 	 200 
妻沼		 119 	 103 
八潮		 159 	 131 
八潮南		 79 	 79 
与野		 358 	 359 
和光		 159 	 160 
和光国際		 238 	 238 
鷲宮		 278 	 288 
蕨		 318 	 319 
川口市立		 360 	 361 
川越市立川越		 140 	 142 
さいたま市立浦和		 320 	 324 
さいたま市立浦和南		 320 	 320 
さいたま市立大宮北		 280 	 285 
"青山学院大学系属 浦和ルーテル学院"		 75 	 74 
秋草学園		 260 	 260 
浦和明の星女子		 160 	 170 
浦和学院		 800 	 1,103 
浦和実業学園		 520 	 842 
浦和麗明		 320 	 379 
叡明		 520 	 727 
大妻嵐山		 180 	 121 
大宮開成		 500 	 628 
開智		 540 	 673 
開智未来		 200 	 157 
春日部共栄		 500 	 597 
川越東		 400 	 490 
慶應義塾志木		 250 	 246 
国際学院		 80 	 85 
埼玉栄		 560 	 759 
埼玉平成		 350 	 253 
栄北		 320 	 494 
栄東		 400 	 493 
狭山ヶ丘		 400 	 279 
自由の森学園		 210 	 227 
秀明		 160 	 83 
秀明英光		 400 	 406 
淑徳与野		 360 	 333 
城西大学付属川越		 280 	 240 
正智深谷		 400 	 352 
昌平		 490 	 509 
城北埼玉		 240 	 190 
西武学園文理		 300 	 288 
西武台		 500 	 471 
聖望学園		 300 	 292 
東京成徳大学深谷		 350 	 212 
東京農業大学第三		 400 	 439 
獨協埼玉		 320 	 372 
花咲徳栄		 440 	 457 
東野		 350 	 349 
武南		 440 	 470 
星野		 650 	 565 
細田学園		 440 	 290 
本庄第一		 450 	 326 
本庄東		 400 	 411 
武蔵越生		 380 	 336 
山村学園		 440 	 527 
山村国際		 280 	 329 
立教新座		 280 	 324 
早稲田大学本庄		 320 	 324 
