上尾	普通科	 197 	 233 
上尾鷹の台	普通科	 87 	 220 
上尾橘	普通科	 12 	 124 
上尾南	普通科	 99 	 228 
朝霞	普通科	 264 	 316 
朝霞西	普通科	 188 	 311 
伊奈学園総合	普通科	 651 	 786 
入間向陽	普通科	 195 	 308 
岩槻	普通科	 178 	 264 
岩槻北陵	普通科	 32 	 138 
浦和	普通科	 172 	 355 
浦和北	普通科	 261 	 309 
浦和第一女子	普通科	 280 	 351 
浦和西	普通科	 318 	 357 
浦和東	普通科	 217 	 309 
大宮	普通科	 258 	 310 
大宮光陵	普通科	 180 	 223 
大宮東	普通科	 133 	 236 
大宮南	普通科	 268 	 345 
大宮武蔵野	普通科	 63 	 211 
小川	普通科	 91 	 191 
桶川	普通科	 186 	 313 
桶川西	普通科	 37 	 132 
越生	普通科	 7 	 73 
春日部	普通科	 221 	 358 
春日部女子	普通科	 238 	 267 
春日部東	普通科	 278 	 311 
川口	普通科	 210 	 317 
川口北	普通科	 325 	 356 
川口青陵	普通科	 89 	 258 
川口東	普通科	 129 	 252 
川越	普通科	 233 	 352 
川越女子	普通科	 306 	 348 
川越西	普通科	 148 	 304 
川越初雁	普通科	 32 	 170 
川越南	普通科	 312 	 353 
北本	普通科	 37 	 143 
久喜	普通科	 195 	 265 
熊谷	普通科	 228 	 317 
熊谷女子	普通科	 282 	 307 
熊谷西	普通科	 265 	 282 
栗橋北彩	普通科	 31 	 170 
鴻巣	普通科	 119 	 196 
鴻巣女子	普通科	 17 	 71 
越ヶ谷	普通科	 296 	 311 
越谷北	普通科	 282 	 307 
越谷西	普通科	 213 	 304 
越谷東	普通科	 130 	 266 
越谷南	普通科	 267 	 310 
児玉	普通科	 7 	 55 
坂戸	普通科	 269 	 318 
坂戸西	普通科	 177 	 313 
狭山清陵	普通科	 65 	 174 
志木	普通科	 140 	 269 
庄和	普通科	 82 	 195 
白岡	普通科	 57 	 148 
杉戸	普通科	 222 	 274 
草加	普通科	 269 	 342 
草加西	普通科	 72 	 226 
草加東	普通科	 176 	 308 
草加南	普通科	 157 	 230 
秩父	普通科	 143 	 219 
鶴ヶ島清風	普通科	 53 	 177 
所沢	普通科	 285 	 343 
所沢北	普通科	 277 	 311 
所沢中央	普通科	 162 	 313 
所沢西	普通科	 231 	 313 
豊岡	普通科	 226 	 311 
南稜	普通科	 218 	 310 
新座	普通科	 49 	 161 
新座柳瀬	普通科	 67 	 209 
蓮田松韻	普通科	 44 	 153 
鳩ヶ谷	普通科	 94 	 151 
鳩山	普通科	 15 	 71 
羽生第一	普通科	 89 	 175 
飯能	普通科	 106 	 221 
飯能南	普通科	 28 	 125 
日高	普通科	 38 	 131 
深谷	普通科	 52 	 187 
深谷第一	普通科	 184 	 276 
富士見	普通科	 56 	 175 
ふじみ野	普通科	 53 	 116 
不動岡	普通科	 274 	 309 
本庄	普通科	 255 	 309 
松伏	普通科	 35 	 155 
松山	普通科	 222 	 275 
松山女子	普通科	 232 	 314 
三郷	普通科	 37 	 156 
三郷北	普通科	 115 	 256 
宮代	普通科	 48 	 180 
妻沼	普通科	 9 	 85 
八潮	普通科	 34 	 153 
八潮南	普通科	 19 	 72 
