		 一浪 	 32 	 24 	 8 	 32 	 24 	 8 	 5 	 4 	 1 	 - 	 - 	 - 	 27 	 20 	 7 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 6 	 4 	 2 	 6 	 4 	 2 	 1 	 - 	 1 	 - 	 - 	 - 	 5 	 4 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	入間向陽	 計 	 198 	 62 	 136 	 155 	 61 	 94 	 - 	 - 	 - 	 - 	 - 	 - 	 155 	 61 	 94 	 43 	 1 	 42 	 - 	 - 	 - 	 43 	 1 	 42 	 - 	 - 	 - 			
		 現役 	 195 	 61 	 134 	 152 	 60 	 92 	 - 	 - 	 - 	 - 	 - 	 - 	 152 	 60 	 92 	 43 	 1 	 42 	 - 	 - 	 - 	 43 	 1 	 42 	 - 	 - 	 - 	 308 	 89 	 219 
		 一浪 	 2 	 1 	 1 	 2 	 1 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 2 	 1 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 1 	 - 	 1 	 1 	 - 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 1 	 - 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	岩槻	 計 	 178 	 96 	 82 	 159 	 95 	 64 	 - 	 - 	 - 	 - 	 - 	 - 	 159 	 95 	 64 	 19 	 1 	 18 	 - 	 - 	 - 	 19 	 1 	 18 	 - 	 - 	 - 			
		 現役 	 178 	 96 	 82 	 159 	 95 	 64 	 - 	 - 	 - 	 - 	 - 	 - 	 159 	 95 	 64 	 19 	 1 	 18 	 - 	 - 	 - 	 19 	 1 	 18 	 - 	 - 	 - 	 264 	 127 	 137 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
普通科	岩槻北陵	 計 	 33 	 20 	 13 	 25 	 19 	 6 	 - 	 - 	 - 	 - 	 - 	 - 	 25 	 19 	 6 	 8 	 1 	 7 	 - 	 - 	 - 	 8 	 1 	 7 	 - 	 - 	 - 			
		 現役 	 32 	 19 	 13 	 24 	 18 	 6 	 - 	 - 	 - 	 - 	 - 	 - 	 24 	 18 	 6 	 8 	 1 	 7 	 - 	 - 	 - 	 8 	 1 	 7 	 - 	 - 	 - 	 138 	 77 	 61 
		 一浪 	 1 	 1 	 - 	 1 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 1 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	浦和	 計 	 318 	 318 	 … 	 318 	 318 	 … 	 188 	 188 	 … 	 5 	 5 	 … 	 125 	 125 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 			
		 現役 	 172 	 172 	 … 	 172 	 172 	 … 	 115 	 115 	 … 	 2 	 2 	 … 	 55 	 55 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 355 	 355 	 … 
		 一浪 	 136 	 136 	 … 	 136 	 136 	 … 	 69 	 69 	 … 	 3 	 3 	 … 	 64 	 64 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 … 	 … 	 … 			
		 二浪以上 	 10 	 10 	 … 	 10 	 10 	 … 	 4 	 4 	 … 	 - 	 - 	 … 	 6 	 6 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 … 	 … 	 … 			
	浦和北	 計 	 272 	 128 	 144 	 262 	 126 	 136 	 2 	 2 	 - 	 3 	 2 	 1 	 257 	 122 	 135 	 10 	 2 	 8 	 - 	 - 	 - 	 10 	 2 	 8 	 - 	 - 	 - 			
		 現役 	 261 	 120 	 141 	 251 	 118 	 133 	 2 	 2 	 - 	 3 	 2 	 1 	 246 	 114 	 132 	 10 	 2 	 8 	 - 	 - 	 - 	 10 	 2 	 8 	 - 	 - 	 - 	 309 	 139 	 170 
		 一浪 	 10 	 7 	 3 	 10 	 7 	 3 	 - 	 - 	 - 	 - 	 - 	 - 	 10 	 7 	 3 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 1 	 1 	 - 	 1 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 1 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	浦和第一女子	 計 	 346 	 … 	 346 	 346 	 … 	 346 	 121 	 … 	 121 	 17 	 … 	 17 	 208 	 … 	 208 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 			
		 現役 	 280 	 … 	 280 	 280 	 … 	 280 	 104 	 … 	 104 	 14 	 … 	 14 	 162 	 … 	 162 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 351 	 … 	 351 
		 一浪 	 63 	 … 	 63 	 63 	 … 	 63 	 16 	 … 	 16 	 3 	 … 	 3 	 44 	 … 	 44 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 … 	 … 	 … 			
		 二浪以上 	 3 	 … 	 3 	 3 	 … 	 3 	 1 	 … 	 1 	 - 	 … 	 - 	 2 	 … 	 2 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 … 	 … 	 … 			
	浦和西	 計 	 339 	 172 	 167 	 339 	 172 	 167 	 44 	 27 	 17 	 11 	 6 	 5 	 284 	 139 	 145 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 			
		 現役 	 318 	 158 	 160 	 318 	 158 	 160 	 39 	 23 	 16 	 11 	 6 	 5 	 268 	 129 	 139 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 357 	 184 	 173 
		 一浪 	 18 	 11 	 7 	 18 	 11 	 7 	 4 	 3 	 1 	 - 	 - 	 - 	 14 	 8 	 6 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 3 	 3 	 - 	 3 	 3 	 - 	 1 	 1 	 - 	 - 	 - 	 - 	 2 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	浦和東	 計 	 217 	 147 	 70 	 203 	 145 	 58 	 - 	 - 	 - 	 1 	 1 	 - 	 202 	 144 	 58 	 14 	 2 	 12 	 - 	 - 	 - 	 14 	 2 	 12 	 - 	 - 	 - 			
		 現役 	 217 	 147 	 70 	 203 	 145 	 58 	 - 	 - 	 - 	 1 	 1 	 - 	 202 	 144 	 58 	 14 	 2 	 12 	 - 	 - 	 - 	 14 	 2 	 12 	 - 	 - 	 - 	 309 	 187 	 122 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	大宮	 計 	 258 	 115 	 143 	 258 	 115 	 143 	 110 	 57 	 53 	 8 	 4 	 4 	 140 	 54 	 86 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 			
		 現役 	 258 	 115 	 143 	 258 	 115 	 143 	 110 	 57 	 53 	 8 	 4 	 4 	 140 	 54 	 86 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 310 	 142 	 168 
